Run,Tl,Tv,L,V,alpha,w_MEA,y_H2O,y_CO2,VLE-lwm_coeff_1,VLE-lwm_coeff_2,VLE-lwm_coeff_3,VLE-lwm_coeff_4,surface_tension-surf_tens_CO2_coeff_1,surface_tension-surf_tens_CO2_coeff_2,surface_tension-surf_tens_CO2_coeff_3,surface_tension-surf_tens_CO2_coeff_4,surface_tension-surf_tens_CO2_coeff_5,surface_tension-surf_tens_CO2_coeff_6,surface_tension-surf_tens_F_coeff_a,surface_tension-surf_tens_F_coeff_b,surface_tension-surf_tens_F_coeff_c,surface_tension-surf_tens_F_coeff_d,surface_tension-surf_tens_F_coeff_e,surface_tension-surf_tens_F_coeff_f,surface_tension-surf_tens_F_coeff_g,surface_tension-surf_tens_F_coeff_h,surface_tension-surf_tens_F_coeff_i,surface_tension-surf_tens_F_coeff_j,molar_volume-vol_mol_liq_comp_coeff_a,molar_volume-vol_mol_liq_comp_coeff_b,molar_volume-vol_mol_liq_comp_coeff_c,molar_volume-vol_mol_liq_comp_coeff_d,molar_volume-vol_mol_liq_comp_coeff_e,viscosity-visc_d_coeff_a,viscosity-visc_d_coeff_b,viscosity-visc_d_coeff_c,viscosity-visc_d_coeff_d,viscosity-visc_d_coeff_e,viscosity-visc_d_coeff_f,viscosity-visc_d_coeff_g
1,313.48600465235893,317.9826399746033,28.9163422750852,3.3591440625367497,0.26405612167278436,0.3025719682150707,0.012200260956486544,0.17179625146407795,1.70981,0.03972,-0.00043,-2.20377,-5.987,3.77,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.5,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207.0,-563.3701,-0.0838,2.8817,33.651,1817.0,0.00847,0.0103,-2.389
2,313.68804843396134,317.3556058704407,27.733852386849634,3.4495519442382765,0.29107192099272855,0.29293630567074236,0.013695382526150055,0.17993154893266186,1.70981,0.03972,-0.00043,-2.20377,-5.987,3.77,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.5,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207.0,-563.3701,-0.0838,2.8817,33.651,1817.0,0.00847,0.0103,-2.389
3,312.314052410018,321.2815168989634,28.04356220915571,3.3700433182105995,0.2750774367440361,0.3018071938339775,0.010615784324150244,0.18425416785712118,1.70981,0.03972,-0.00043,-2.20377,-5.987,3.77,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.5,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207.0,-563.3701,-0.0838,2.8817,33.651,1817.0,0.00847,0.0103,-2.389
4,311.67310733791584,317.1564133666151,27.07570595504254,3.5676105047646924,0.2724279099606177,0.3067212922771452,0.01333856499151929,0.16919020648021216,1.70981,0.03972,-0.00043,-2.20377,-5.987,3.77,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.5,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207.0,-563.3701,-0.0838,2.8817,33.651,1817.0,0.00847,0.0103,-2.389
5,314.90427921193697,320.853763269859,31.465788303709893,3.7041736519499655,0.28815926342091325,0.29590356577176574,0.01165759331325152,0.18177609603691958,1.70981,0.03972,-0.00043,-2.20377,-5.987,3.77,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.5,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207.0,-563.3701,-0.0838,2.8817,33.651,1817.0,0.00847,0.0103,-2.389
6,314.6299608863738,321.57302213455273,31.724403435913647,3.8696336863060083,0.28380376522655937,0.28330014345229654,0.015380975792794066,0.1774027236484383,1.70981,0.03972,-0.00043,-2.20377,-5.987,3.77,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.5,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207.0,-563.3701,-0.0838,2.8817,33.651,1817.0,0.00847,0.0103,-2.389
7,313.002110894993,320.62503889422135,31.26274487134318,3.839656152284926,0.2684672987552757,0.317829526267437,0.015005279970487253,0.17443035871206153,1.70981,0.03972,-0.00043,-2.20377,-5.987,3.77,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.5,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207.0,-563.3701,-0.0838,2.8817,33.651,1817.0,0.00847,0.0103,-2.389
8,313.3928526279954,320.42973249491,31.8725124558408,3.045492811679717,0.28428103638454383,0.28910575740427535,0.013457958490770628,0.1781257126727178,1.70981,0.03972,-0.00043,-2.20377,-5.987,3.77,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.5,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207.0,-563.3701,-0.0838,2.8817,33.651,1817.0,0.00847,0.0103,-2.389
9,313.9186870699166,319.2512890102103,30.64559325919409,3.154220932979695,0.29486955748418914,0.2915452001085227,0.014104704863033623,0.17579329703515406,1.70981,0.03972,-0.00043,-2.20377,-5.987,3.77,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.5,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207.0,-563.3701,-0.0838,2.8817,33.651,1817.0,0.00847,0.0103,-2.389
10,315.79680718378603,319.62523169293155,29.50915582618012,3.538905170785383,0.28156387591851884,0.29976176400483145,0.012818370193948086,0.17079647173355922,1.70981,0.03972,-0.00043,-2.20377,-5.987,3.77,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.5,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207.0,-563.3701,-0.0838,2.8817,33.651,1817.0,0.00847,0.0103,-2.389
11,316.39188894330397,322.8800419566336,26.702902339375708,3.7373414826477935,0.2935870160452138,0.2902712896013183,0.010886548971843317,0.17484920042507374,1.70981,0.03972,-0.00043,-2.20377,-5.987,3.77,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.5,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207.0,-563.3701,-0.0838,2.8817,33.651,1817.0,0.00847,0.0103,-2.389
12,311.3828138310688,318.2913681426654,30.844340156721596,3.2068177640408577,0.26201676810032787,0.2863714494745384,0.015058852130395081,0.1681794416194686,1.70981,0.03972,-0.00043,-2.20377,-5.987,3.77,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.5,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207.0,-563.3701,-0.0838,2.8817,33.651,1817.0,0.00847,0.0103,-2.389
13,315.4056533884291,318.8526511272663,26.856603646271402,3.797195948979052,0.27758093570850334,0.297249905609971,0.012623404862528057,0.1825632380397918,1.70981,0.03972,-0.00043,-2.20377,-5.987,3.77,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.5,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207.0,-563.3701,-0.0838,2.8817,33.651,1817.0,0.00847,0.0103,-2.389
14,316.17452261465695,320.2285817589658,26.132874802836422,3.106337160843725,0.2861446387957541,0.286478116893556,0.015714686331366943,0.18329072423105183,1.70981,0.03972,-0.00043,-2.20377,-5.987,3.77,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.5,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207.0,-563.3701,-0.0838,2.8817,33.651,1817.0,0.00847,0.0103,-2.389
15,315.8121175158443,319.085969407315,30.1677649722525,3.4289663465864795,0.2776348499129374,0.3086493130843888,0.013900821162775032,0.1786143665870784,1.70981,0.03972,-0.00043,-2.20377,-5.987,3.77,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.5,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207.0,-563.3701,-0.0838,2.8817,33.651,1817.0,0.00847,0.0103,-2.389
16,314.2374513357165,318.6787085786067,30.47714991541715,3.981640558868167,0.2895930605734036,0.308928780061814,0.015868062684333013,0.17044009446273609,1.70981,0.03972,-0.00043,-2.20377,-5.987,3.77,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.5,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207.0,-563.3701,-0.0838,2.8817,33.651,1817.0,0.00847,0.0103,-2.389
17,312.0628625541758,322.52837978149483,27.445966604414068,3.954390598961707,0.2600303142132154,0.29826042552766874,0.01206460966376645,0.16599630338514712,1.70981,0.03972,-0.00043,-2.20377,-5.987,3.77,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.5,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207.0,-563.3701,-0.0838,2.8817,33.651,1817.0,0.00847,0.0103,-2.389
18,315.14297893095306,321.51737064711614,28.767510412626372,3.6357254661404794,0.2960061471616956,0.3151550420594601,0.01022142399038526,0.17692213714985763,1.70981,0.03972,-0.00043,-2.20377,-5.987,3.77,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.5,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207.0,-563.3701,-0.0838,2.8817,33.651,1817.0,0.00847,0.0103,-2.389
19,314.5022094338044,320.05285179799694,26.370476890121836,3.678095164799389,0.27084083147827187,0.2814038439480507,0.011123130788794589,0.18388442818257814,1.70981,0.03972,-0.00043,-2.20377,-5.987,3.77,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.5,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207.0,-563.3701,-0.0838,2.8817,33.651,1817.0,0.00847,0.0103,-2.389
20,316.59125236833273,322.40425288477553,28.197407423375008,3.8880541760455385,0.2797183953548103,0.31237327068245074,0.011202637817625365,0.1686385164510189,1.70981,0.03972,-0.00043,-2.20377,-5.987,3.77,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.5,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207.0,-563.3701,-0.0838,2.8817,33.651,1817.0,0.00847,0.0103,-2.389
21,312.5573588797286,321.931364037623,27.307633548650713,3.5125921682858494,0.2736961357621873,0.2818639950107879,0.014586016559458896,0.167114346942251,1.70981,0.03972,-0.00043,-2.20377,-5.987,3.77,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.5,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207.0,-563.3701,-0.0838,2.8817,33.651,1817.0,0.00847,0.0103,-2.389
22,316.8978232757671,322.25847027541033,29.334451870511252,3.2548940609037507,0.29892083714609785,0.31670809220746265,0.011914388566519897,0.16564604730083562,1.70981,0.03972,-0.00043,-2.20377,-5.987,3.77,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.5,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207.0,-563.3701,-0.0838,2.8817,33.651,1817.0,0.00847,0.0103,-2.389
23,311.0051418663749,317.78306089572686,29.85718906832736,3.2855373402910852,0.265493406360305,0.30527810461923877,0.012900477432414407,0.17334822714771073,1.70981,0.03972,-0.00043,-2.20377,-5.987,3.77,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.5,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207.0,-563.3701,-0.0838,2.8817,33.651,1817.0,0.00847,0.0103,-2.389
24,312.90330606065504,317.6419225743343,28.497611450222394,3.1981489644715904,0.26675972775776774,0.3110663132384473,0.010254975673760422,0.17289263153389878,1.70981,0.03972,-0.00043,-2.20377,-5.987,3.77,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.5,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207.0,-563.3701,-0.0838,2.8817,33.651,1817.0,0.00847,0.0103,-2.389
25,311.9268641440211,319.8160445816189,29.702645137101584,3.0201610583359586,0.29820324141951676,0.3193122241660753,0.01449680102017267,0.18024543383729189,1.70981,0.03972,-0.00043,-2.20377,-5.987,3.77,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.5,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207.0,-563.3701,-0.0838,2.8817,33.651,1817.0,0.00847,0.0103,-2.389
